Category,State, Description,Source
Higher Education,Pennsylvania,$2.2 million to student loan interest forbearance to relieve Pennsylvania student loan borrowers from interest payments for non-defaulted private loans that are held and identified by the Higher Education Assistance Agency.,Legislation
Higher Education,Pennsylvania,$30 million for the state system of higher education.,Legislation
Higher Education,Pennsylvania,$30 million to the Higher Education Assistance Agency for education assistance grants.,Legislation
Higher Education,Pennsylvania,$5 million to the Higher Education Assistance Agency for education efforts for the disadvantaged.,Legislation
Higher Education,Pennsylvania,$5 million to the Higher Education Assistance Agency for institutional assistance grants.,Legislation
Higher Education,South Dakota,$20 million for universities and technical colleges,Governor
Higher Education,Tennessee,$20 million in grants to public and nonprofit private higher education institutions for Coronavirus Relief Fund including 2-year (TBR) and 4-year public and private (TICUA) institutions.,Media
Higher Education,Vermont,"$12.5 million to the Vermont State Colleges System for room & board refunds, remote instruction costs",Legislation
Higher Education,Vermont,"$19 million UVM - costs and business disruption impacts, Business Resource Ctr.",Legislation
Higher Education,Vermont,$5 million VSAC - COVID impacts,Legislation
Higher Education,Vermont,$5.1 million to the Vermont Student Assistance Corporation for tuition assistance and skills enhancement grants,Legislation
Higher Education,Vermont,$8.6 million for University of Vermont for room & board refunds and parking refunds.,Legislation
Higher Education,Vermont,Approximately $23 million to the VSC - costs and business disruption impacts,Legislation
Higher Education,Virginia,"$120 million to the Higher Education - PPE, Virtual Education, Cleaning , Telework, Other COVID Costs",State
Higher Education,Virginia,"$4.5 million to State Museums and Higher Education Centers - PPE, Virtual Education, Cleaning , Telework, Other COVID Costs",State
Higher Education,Washington,"$1.3 million to Washington State University to support continued operations, and emergency support funds.",State
Higher Education,Washington,"$44 million to the State Board for Community and Technical Colleges to support continued operations, emergency support funds, and restart professional technical programs.",State
Higher Education,Washington,"$50.8 million to the University of Washington to pay for testing expenditures, including test development, triage and testing sites, and public health partnerships for contact tracing; pay for COVID-related cleaning services; to pay for increased training for epidemiology students to support local virus response; increased PPE; capital upgrades to improve patient safety; required field learning for nursing, dental, and social work students; and virtual training costs for dental and medical students; and to pay for increased training for epidemiology students to support local virus response; increased PPE; capital upgrades to improve patient safety; required field learning for nursing, dental, and social work students; and virtual training costs for dental and medical students.",State
Higher Education,Wisconsin,$32.3 million to support UW system support - COVID-19 testing,State
Higher Education,Wisconsin,$37 million for higher education institutions.,State
Higher Education,Wyoming,"Approximately $26.5 million to the University of Wyoming for technology equipment, purchasing personal protective equipment, teaching support, and testing.",State
Housing Assistance,Alaska,"$10.0 million in homelessness assistance. COVID-19 economic impacts have increased the need for homelessness assistance. This funding will provide grants to local communities and agencies to support programs designed to prevent and reduce homelessness, provide services that prevent housing displacement, and assist the homeless to transition back to permanent housing.",Governor
Housing Assistance,Alaska,$3.2 million for Housing and Alternate Care Sites.,State
Housing Assistance,Arkansas,$4.2 million to the Department of Commerce for the Fresh Start Housing Stabilization Program.,State
Housing Assistance,Colorado,"$10 million to the Colorado Department of Local Affairs (DOLA) for expenditures incurred to respond to second-order effects of the COVID-19 emergency, specifically for emergency rental and mortgage assistance to low to moderate income individuals, as well as additional direct assistance, if appropriate, for individuals that have been economically impacted by COVID-19, with preference given to individuals who are ineligible for other forms of assistance.",State
Housing Assistance,Connecticut,$10 million for mortgage relief to homeowners.,State
Housing Assistance,Connecticut,$2.5 million to support renters excluded from federal assistance because of their or their loved ones' immigration status.,State
Housing Assistance,Connecticut,"$40 million to the Department of Housing and the Connecticut Housing Finance Authority (CHFA), the state will be providing relief to assist renters and homeowners in order to prevent eviction and foreclosure actions. Temporary Housing Assistance will be made available to assist both documented and undocumented households in the state to address both late payments caused by income loss and/or greater expenses due to COVID-19 and has negatively impacted a household's ability to pay their full housing cost over the next few months. In addition, a portion of the Emergency Mortgage Assistance Program administered by CHFA will be reserved to provide assistance to homeowners who are delinquent on their first mortgage and are at risk of foreclosure proceedings due to financial hardship in connection with the COVID-19 pandemic.",State
